notice_ref,authority,published,days_since_recall,product,brand_or_model,gtin,gtin_valid,arm,marketplace,arm_state,arm_coverage_pct,arm_verdict,row_tier,found_by_query,discard_reasons,hazard
SR/01963/26,SAFETY_GATE,2026-07-10,40,Sand-filled toy,967176,4032722967176,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,The toy could rupture and the filling of the inside could come out. The sand inside contains asbestos. Asbestos could cause cancer.
SR/01963/26,SAFETY_GATE,2026-07-10,40,Sand-filled toy,967176,4032722967176,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,The toy could rupture and the filling of the inside could come out. The sand inside contains asbestos. Asbestos could cause cancer.
SR/01980/26,SAFETY_GATE,2026-07-10,40,MAGNETIC,8888,5906826474191,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The toy consists of small magnets with high magnetic flux (measured value up to 289 kG²mm²). If a child swallows them, they could attract one another causing intestinal blockage or perforation."
SR/01980/26,SAFETY_GATE,2026-07-10,40,MAGNETIC,8888,5906826474191,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The toy consists of small magnets with high magnetic flux (measured value up to 289 kG²mm²). If a child swallows them, they could attract one another causing intestinal blockage or perforation."
SR/01980/26,SAFETY_GATE,2026-07-10,40,MAGNETIC,8888,5906826474191,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The toy consists of small magnets with high magnetic flux (measured value up to 289 kG²mm²). If a child swallows them, they could attract one another causing intestinal blockage or perforation."
SR/01984/26,SAFETY_GATE,2026-07-10,40,ECLAIRAGE LED / LED LIGHTING,45989,3700369444565,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"Due to inadequate moisture protection and insulation of the product, the user can receive an electric shock."
SR/01984/26,SAFETY_GATE,2026-07-10,40,ECLAIRAGE LED / LED LIGHTING,45989,3700369444565,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"Due to inadequate moisture protection and insulation of the product, the user can receive an electric shock."
SR/01984/26,SAFETY_GATE,2026-07-10,40,ECLAIRAGE LED / LED LIGHTING,45989,3700369444565,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"Due to inadequate moisture protection and insulation of the product, the user can receive an electric shock."
SR/01625/26,SAFETY_GATE,2026-06-12,68,THE NEW FRAGRANCE FOR MEN,B976-2,6936664319520,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The product contains allergenic fragrances, which are not mentioned in the list of ingredients. Failure to mention the presence of an allergenic fragrance in the labelling in leave-on products may cause dermatitis/eczema, or more serious skin reactions in already sensitized persons."
SR/01625/26,SAFETY_GATE,2026-06-12,68,THE NEW FRAGRANCE FOR MEN,B976-2,6936664319520,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The product contains allergenic fragrances, which are not mentioned in the list of ingredients. Failure to mention the presence of an allergenic fragrance in the labelling in leave-on products may cause dermatitis/eczema, or more serious skin reactions in already sensitized persons."
SR/01625/26,SAFETY_GATE,2026-06-12,68,THE NEW FRAGRANCE FOR MEN,B976-2,6936664319520,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The product contains allergenic fragrances, which are not mentioned in the list of ingredients. Failure to mention the presence of an allergenic fragrance in the labelling in leave-on products may cause dermatitis/eczema, or more serious skin reactions in already sensitized persons."
SR/01628/26,SAFETY_GATE,2026-06-12,68,Base Rubber Care con cheratina e Vitamina E Neutral,RUB,8034135962430,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01628/26,SAFETY_GATE,2026-06-12,68,Base Rubber Care con cheratina e Vitamina E Neutral,RUB,8034135962430,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01628/26,SAFETY_GATE,2026-06-12,68,Base Rubber Care con cheratina e Vitamina E Neutral,RUB,8034135962430,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01631/26,SAFETY_GATE,2026-06-12,68,Arancio Energy,,,no,US,amazon.com,DEGRADED,55,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01631/26,SAFETY_GATE,2026-06-12,68,Arancio Energy,,,no,DE,kaufland.de,MEASURED,97,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01631/26,SAFETY_GATE,2026-06-12,68,Arancio Energy,,,no,IN,flipkart.com,MEASURED,93,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01632/26,SAFETY_GATE,2026-06-12,68,THE MONSTERS - Have a Seat Vinyl Plush Blind Box,12402230008,6941848255204,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The plastic material of the product has an excessive concentration of bis(2-ethylhexyl) phthalate (DEHP) (measured value up to 43.4% by weight). These phthalates may harm the health of children, causing possible damage to their reproductive system."
SR/01632/26,SAFETY_GATE,2026-06-12,68,THE MONSTERS - Have a Seat Vinyl Plush Blind Box,12402230008,6941848255204,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The plastic material of the product has an excessive concentration of bis(2-ethylhexyl) phthalate (DEHP) (measured value up to 43.4% by weight). These phthalates may harm the health of children, causing possible damage to their reproductive system."
SR/01632/26,SAFETY_GATE,2026-06-12,68,THE MONSTERS - Have a Seat Vinyl Plush Blind Box,12402230008,6941848255204,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The plastic material of the product has an excessive concentration of bis(2-ethylhexyl) phthalate (DEHP) (measured value up to 43.4% by weight). These phthalates may harm the health of children, causing possible damage to their reproductive system."
SR/01637/26,SAFETY_GATE,2026-06-12,68,Rosè,Gel,8034108163451,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01637/26,SAFETY_GATE,2026-06-12,68,Rosè,Gel,8034108163451,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01637/26,SAFETY_GATE,2026-06-12,68,Rosè,Gel,8034108163451,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01639/26,SAFETY_GATE,2026-06-12,68,Train en bois lapin,942112,8053735018170,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,The product has small parts (wooden dowel pins coupling the train parts) that can easily detach. Small children may put them in the mouth and choke.
SR/01639/26,SAFETY_GATE,2026-06-12,68,Train en bois lapin,942112,8053735018170,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,The product has small parts (wooden dowel pins coupling the train parts) that can easily detach. Small children may put them in the mouth and choke.
SR/01639/26,SAFETY_GATE,2026-06-12,68,Train en bois lapin,942112,8053735018170,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,The product has small parts (wooden dowel pins coupling the train parts) that can easily detach. Small children may put them in the mouth and choke.
SR/01652/26,SAFETY_GATE,2026-06-12,68,Viola Glamour,194,8034108163574,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01652/26,SAFETY_GATE,2026-06-12,68,Viola Glamour,194,8034108163574,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01652/26,SAFETY_GATE,2026-06-12,68,Viola Glamour,194,8034108163574,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01653/26,SAFETY_GATE,2026-06-12,68,Viola profondo,190,8034108163635,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01653/26,SAFETY_GATE,2026-06-12,68,Viola profondo,190,8034108163635,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01653/26,SAFETY_GATE,2026-06-12,68,Viola profondo,190,8034108163635,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01655/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",GRAPE,4895261107126,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01655/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",GRAPE,4895261107126,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01655/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",GRAPE,4895261107126,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01657/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",DOUBLE,4895261107119,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01657/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",DOUBLE,4895261107119,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01657/26,SAFETY_GATE,2026-06-12,68,"NIC SALTS, POWERED BY ELFBAR",DOUBLE,4895261107119,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"The product has an excessive concentration of nicotine (50mg/ml). This could lead to the accidental consumption of a high dose of nicotine. Nicotine is acutely toxic and can endanger the user’s safety, notably if the product comes into contact with the skin or is ingested."
SR/01663/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Nude,8533,8056600796319,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01663/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Nude,8533,8056600796319,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01663/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Nude,8533,8056600796319,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01664/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Glitter Pink,8532,8056600796302,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01664/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Glitter Pink,8532,8056600796302,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01664/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Glitter Pink,8532,8056600796302,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01666/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Cover Rose,8536,8056600796340,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01666/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Cover Rose,8536,8056600796340,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01666/26,SAFETY_GATE,2026-06-12,68,Base Rubber - Cover Rose,8536,8056600796340,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01672/26,SAFETY_GATE,2026-06-12,68,Rosa Reale Metallic,,,no,US,amazon.com,DEGRADED,55,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01672/26,SAFETY_GATE,2026-06-12,68,Rosa Reale Metallic,,,no,DE,kaufland.de,MEASURED,97,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01672/26,SAFETY_GATE,2026-06-12,68,Rosa Reale Metallic,,,no,IN,flipkart.com,MEASURED,93,NOT_FOUND,DISCARDED,,,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01673/26,SAFETY_GATE,2026-06-12,68,Gel Color - Bogotà Blackberry,8207,619828089205,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01673/26,SAFETY_GATE,2026-06-12,68,Gel Color - Bogotà Blackberry,8207,619828089205,yes,DE,kaufland.de,MEASURED,97,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01673/26,SAFETY_GATE,2026-06-12,68,Gel Color - Bogotà Blackberry,8207,619828089205,yes,IN,flipkart.com,MEASURED,93,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
SR/01677/26,SAFETY_GATE,2026-06-12,68,Coral Bay metallic,Smalto,8034108161396,yes,US,amazon.com,DEGRADED,55,NOT_FOUND,AMBER,both,AMBER,"According to the list of ingredients, the product contains Diphenyl(2,4,6-trimethylbenzoyl)phosphine oxide (TPO), which is prohibited in cosmetic products. TPO may harm the reproductive system, may harm the health of the unborn child and may cause allergic skin reactions."
